variable,caida_f2,desv
B03,0.27033182639753495,0.0030466724432115276
dist_orilla,0.25361893937375213,0.0038608669666738544
verde_rojo,0.18254231698410134,0.004900749433118698
NDVI,0.17152829986643708,0.0023029573238128706
textura_ndwi,0.08053908641343024,0.0016984562204673318
B04,0.062473927131797356,0.002680332705803937
brillo,0.00452000018077976,0.0004172170185914681
B08,0.001637637698145955,0.0006531742970170288
nir_verde,0.0015523620255060155,0.0010438941642827919
NDWI,0.0005321502492608099,0.00063947180733002
