variable,shap_medio_abs,corr_valor_shap
B03,0.1456975795385878,0.8240151711945476
dist_orilla,0.12610142087457218,-0.8259500832033727
verde_rojo,0.07434701822785839,0.3348877611768488
NDVI,0.06938068303724627,0.09231869745977543
textura_ndwi,0.06077454195831813,0.8547718573141211
B04,0.03676087074243059,0.19321730550422972
brillo,0.028524031902535288,0.7851318638556155
B08,0.005377915185053102,0.5046339807797774
nir_verde,0.0052411839654257835,-0.3648854332864771
NDWI,0.005233564597363224,0.35775998881511334
